Code,Title,Version,Credits
CFOC250M,Geosynthetics and Reinforced Soil Structures,1,3
CFOC251M,Geotechnical Engineering II Foundation Engineering,1,3
CFOC252M,Landscape Architecture and Site Planning - Basic Fundamentals,1,2
CFOC253M,Plastic Waste Management,1,2
CFOC254M,Advanced Topics in the Science and Technology of Concrete,1,1
CFOC255M,Applied Environmental Microbiology,1,3
CFOC256M,Digital Land Surveying And Mapping (DLS&M),1,2
CFOC257M,Earthquake Geology: A tool for Seismic Hazard Assessment,1,3
CFOC258M,Introduction to Geographic Information Systems,1,1
CFOC259M,Structural Dynamics,1,3
CFOC259M,Structural Dynamics,2,4
CFOC260M,Water Supply Engineering,1,3
CFOC261M,Geo Spatial Analysis in Urban Planning,1,1
CFOC262M,Geotechnical Engineering - 1,1,3
CFOC263M,Maintenance and Repair of Concrete Structures,1,3
CFOC264M,Thermodynamics,1,3
CFOC265M,Geomorphology,1,3
CFOC266M,Remote Sensing Essentials,1,3
CFOC267M,Hydraulic Engineering,1,3
CFOC268M,Environmental Quality Monitoring and Analysis,1,3
CFOC269M,Electrochemical Technology in Pollution Control,1,2
CFOC270M,Advanced Thermodynamics,1,3
CFOC271M,Membrane Technology,1,3
CFOC272M,Computational Fluid Dynamics,1,3
CFOC273M,Transport phenomena,1,3
CFOC274M,Optimization in Chemical Engineering,1,3
CFOC275M,Soft Nano Technology,1,2
CFOC276M,Transport processes I - Heat and Mass Transfer,1,3
CFOC277M,"Process Control - Design, Analysis and Assessment",1,3
CFOC278M,Heat Transfer,1,3
CFOC279M,Chemical Reaction Engineering II,1,3
CFOC280M,Multiphase Flows,1,2
CFOC281M,Mass Transfer Operations - I,1,3
CFOC282M,Waste to Energy Conversion,1,2
CFOC283M,Equipment Design : Mechanical Aspects,1,1
CFOC284M,An Introduction to Cardiovascular Fluid Mechanics,1,1
CFOC285M,Computer Aided Applied Single Objective Optimization,1,2
CFOC285M,Computer Aided Applied Single Objective Optimization,2,3
CFOC286M,Basic Principles and Calculations in Chemical Engineering,1,3
CFOC287M,Introduction to Blockchain Technology and Applications,1,2
CFOC288M,Foundations of Cryptography,1,3
CFOC289M,Introduction to Database Systems,1,3
CFOC290M,Operating System,1,3
CFOC291M,Programming in C++,1,2
CFOC292M,Programming in Java,1,3
CFOC293M,Data Base Management System,1,2
CFOC294M,Introduction to Algorithms and Analysis,1,3
CFOC295M,Data Mining,1,2
CFOC296M,Embedded Systems Design,1,3
CFOC297M,Real Time Operating System,1,1
CFOC298M,Introduction to Soft Computing,1,2
CFOC299M,Cryptography and Network Security,1,3
CFOC300M,Introduction to Internet of Things,1,3
CFOC301M,Computer Networks and Internet Protocol,1,3
CFOC302M,Introduction to Industry 4.0 and Industrial Internet of Things,1,3
CFOC303M,Computer Architecture,1,3
CFOC304M,"Programming, Data Structures And Algorithms Using Python",1,2
CFOC305M,Introduction to Machine Learning,1,3
CFOC306M,Social Networks,1,3
CFOC307M,Foundations to Computer Systems Design,1,3
CFOC308M,The Joy of Computing using Python,1,3
CFOC309M,Discrete Mathematics,1,3
CFOC310M,An Introduction to Artificial Intelligence,1,3
CFOC311M,User-centric Computing for Human-Computer Interaction,1,3
CFOC312M,Cloud Computing and Distributed Systems,1,2
CFOC313M,Machine Learning,1,2
CFOC314M,Modern Application Development,1,3
CFOC315M,An Introduction To Programming Through C++,1,3
CFOC316M,Design and Pedagogy of the Introductory Programming Course,1,1
CFOC317M,Quantitative Methods in Chemistry,1,3
CFOC318M,Basics in Inorganic Chemistry,1,1
CFOC319M,Ultrafast Laser Spectroscopy,1,3
CFOC320M,Transition Metal Organometallics in Catalysis and Biology,1,3
CFOC321M,Essentials of Biomolecules : Nucleic Acids and Peptides,1,3
CFOC322M,Fundamentals of Spectroscopy,1,3
CFOC323M,Advanced Chemical Thermodynamics and Kinetics,1,3
CFOC324M,Biochemistry,1,3
CFOC325M,Organometallic Chemistry,1,1
CFOC326M,Chemical Applications of Symmetry and Group Theory,1,2
CFOC327M,Basic Thermodynamics : Classical and Statistical Approaches,1,3
CFOC328M,Medicinal Chemistry,1,3
CFOC329M,"Design, Technology and Innovation",1,2
CFOC330M,Geographic Information System,1,3
CFOC331M,Product Design and Innovation,1,1
CFOC332M,Fundamentals of Automotive Systems,1,3
CFOC333M,Electronics Equipment Integration and Prototype Building,1,2
CFOC334M,"High Power Multilevel Converters-Analysis, Design and Operational Issues",1,3
CFOC335M,"Fuzzy Sets, Logic and Systems and Applications",1,3
CFOC336M,Transmission Lines and Electromagnetic Waves,1,3
CFOC337M,Digital IC Design,1,3
CFOC338M,Signals and Systems,1,3
CFOC339M,Power Management Integrated Circuits,1,3
CFOC340M,DC Power Transmission Systems,1,3
CFOC341M,Microprocessors and Interfacing,1,3
CFOC342M,Design and Simulation of Power Conversion using Open Source Tools,1,1
CFOC343M,"Integrated Circuits, MOSFETs, OP-Amps and their Applications",1,3
CFOC344M,Electronic Systems for Cancer Diagnosis,1,3
CFOC345M,Principles of Signals and Systems,1,3
CFOC346M,Principles of Communication Systems - I,1,3
CFOC347M,Principles of Digital Communication,1,3
CFOC348M,Electric Vehicles - Part 1,1,1
CFOC349M,Nonlinear Adaptive Control,1,1
CFOC349M,Nonlinear Adaptive Control,2,3
CFOC350M,Antennas,1,3
CFOC351M,Multirate DSP,1,3
CFOC352M,Control Engineering,1,3
CFOC353M,Introduction to Photonics,1,3
CFOC354M,Microwave Integrated Circuits,1,2
CFOC355M,Analog IC Design,1,3
CFOC356M,Analog Circuits,1,3
CFOC357M,Advance Power Electronics and Control,1,2
CFOC358M,CMOS Digital VLSI Design,1,2
CFOC359M,Analog Circuits and Systems through SPICE Simulation,1,3
CFOC360M,Discrete Time Signal Processing,1,2
CFOC361M,Digital Electronic Circuits,1,3
CFOC362M,Fundamentals of MIMO Wireless Communication,1,2
CFOC363M,Spread Spectrum Communications and Jamming,1,3
CFOC365M,Evolution of Air Interface towards 5G,1,2
CFOC366M,Architectural Design of Digital Integrated Circuits,1,3
CFOC367M,Electrical Machines - II,1,3
CFOC368M,Medical Image Analysis,1,1
CFOC369M,Biomedical Signal Processing,1,3
CFOC370M,Microprocessors And Microcontrollers,1,3
CFOC371M,Recent Advances in Transmission Insulator,1,1
CFOC372M,VLSI Signal Processing,1,2
CFOC373M,Analog Electronic Circuits,1,3
CFOC374M,Network Analysis,1,3
CFOC375M,Optical Engineering,1,3
CFOC376M,Mathematical Methods and Techniques in Signal Processing,1,3
CFOC377M,A brief introduction of Micro - Sensors,1,1
CFOC378M,Statistical Signal Processing,1,3
CFOC379M,Nonlinear System Analysis,1,3
CFOC380M,Ethics in Engineering Practice,1,2
CFOC381M,Introduction to Research,1,2
CFOC382M,Matlab Programming for Numerical Computation,1,2
CFOC383M,Roadmap for Patent Creation,1,2
CFOC384M,Entrepreneurship Essentials,1,3
CFOC385M,Fuzzy Logic and Neural Networks,1,2
CFOC386M,Microeconomics : Theory & Applications,1,3
CFOC387M,Introduction to Environmental Economics,1,3
CFOC388M,"Energy Resources, Economics and Environment",1,3
CFOC389M,Literary Criticism (From Plato to Leavis),1,3
CFOC390M,Twentieth Century Fiction,1,3
CFOC391M,Effective Writing,1,1
CFOC392M,Strategic Trade and Protectionism - Theories and Empirics,1,2
CFOC393M,Introduction to Cultural Studies,1,3
CFOC394M,Introduction to Basic Spoken Sanskrit,1,1
CFOC395M,Speaking Effectively,1,2
CFOC396M,Soft Skill Development,1,2
CFOC397M,Intellectual Property,1,3
CFOC398M,English Language for Competitive Exams,1,3
CFOC399M,English Literature for competitive Exams,1,2
CFOC400M,Language and Mind,1,2
CFOC401M,The Nineteenth - Century English Novel,1,3
CFOC402M,Introduction to World Literature,1,3
CFOC403M,Patent Drafting for Beginners,1,1
CFOC404M,Patent Law for Engineers and Scientists,1,3
CFOC405M,Economic Growth & Development,1,2
CFOC406M,Human Behaviour,1,2
CFOC407M,Introduction to Modern Indian Political Thought,1,3
CFOC408M,"English Literature of the Romantic Period, 1798 - 1832",1,2
CFOC409M,"Literature, Culture and Media",1,3
CFOC410M,Introduction to Brain & Behaviour,1,2
CFOC411M,Modern Indian Writing in Translation,1,3
CFOC412M,"Introduction to Political Ideologies : Contexts, Ideas and Practices",1,3
CFOC413M,Indian Business History,1,2
CFOC414M,German - II,1,3
CFOC415M,German - I,1,3
CFOC416M,Feminism : Concepts and Theories,1,3
CFOC417M,An Introduction to Smooth Manifolds,1,3
CFOC418M,Measure Theory,1,3
CFOC419M,Basic Real Analysis,1,3
CFOC420M,Probabilistic Methods in PDE,1,3
CFOC421M,Graph Theory,1,2
CFOC422M,Transform Calculus and its applications in Differential Equations,1,3
CFOC423M,Integral and Vector Calculus,1,3
CFOC424M,Basic Linear Algebra,1,2
CFOC425M,Introduction to Rings And Fields,1,2
CFOC426M,Numerical Methods : Finite Difference Approach,1,1
CFOC427M,Numerical Linear Algebra,1,3
CFOC428M,Ordinary and Partial Differential Equations and Applications,1,3
CFOC429M,Advanced Engineering Mathematics,1,3
CFOC430M,Mathematical Methods and its Applications,1,3
CFOC431M,Multivariable Calculus,1,2
CFOC432M,Chaotic Dynamical System,1,3
CFOC433M,Engineering Mathematics II,1,3
CFOC434M,Advanced Probability Theory,1,3
CFOC435M,Statistical Inference,1,2
CFOC436M,Introduction to Algebraic Geometry and Commutative Algebra,1,3
CFOC437M,Linear Algebra,1,3
CFOC438M,Introduction to Probability and Statistics,1,1
CFOC439M,Descriptive Statistics with R Software,1,2
CFOC440M,Engineering Mechanics - Statics and Dynamics,1,2
CFOC441M,Experimental Stress Analysis,1,3
CFOC442M,Robotics and Control : Theory and Practice,1,2
CFOC443M,Computational Fluid Dynamics for Incompressible Flows,1,3
CFOC444M,Experimental Methods in Fluid Mechanics,1,3
CFOC445M,Foundations of Computational Materials Modelling,1,3
CFOC446M,Acoustic Materials and Metamaterials,1,2
CFOC447M,Power Plant Engineering,1,2
CFOC448M,Applied Ergonomics,1,3
CFOC449M,Product Design and Manufacturing,1,3
CFOC450M,Manufacturing Process Technology I & II,1,3
CFOC451M,Introduction To Mechanical Micro Machining,1,3
CFOC453M,Gear And Gear Unit Design : Theory And Practice,1,2
CFOC454M,Conduction and Convection Heat Transfer,1,3
CFOC455M,Laws of Thermodynamics,1,1
CFOC456M,Kinematics of Mechanisms and Machines,1,2
CFOC457M,Introduction To Fluid Mechanics,1,3
CFOC458M,Fundamental of Welding Science and Technology,1,2
CFOC459M,Introduction to Abrasive Machining and Finishing Processes,1,2
CFOC460M,Automatic Control,1,2
CFOC461M,Inspection and Quality Control in Manufacturing,1,1
CFOC462M,Diffusion in Multicomponent Solids,1,3
CFOC463M,Processing of Polymers and Polymer Composites,1,2
CFOC464M,Operations Management,1,3
CFOC465M,Convective Heat Transfer,1,1
CFOC466M,Two phase flow and heat transfer,1,1
CFOC467M,Steam and Gas Power Systems,1,2
CFOC468M,Principles of Casting Technology,1,2
CFOC469M,Financial Mathematics,1,3
CFOC470M,Modelling and Simulation of Dynamic Systems,1,2
CFOC471M,Fundamentals of combustion for propulsion,1,2
CFOC472M,Industrial Automation And Control,1,3
CFOC473M,Fundamentals of Nuclear Power Generation,1,3
CFOC474M,Mechanics of Machining,1,2
CFOC475M,IC Engines and Gas Turbines,1,3
CFOC476M,Principles of Industrial Engineering,1,3
CFOC477M,Computer Integrated Manufacturing,1,3
CFOC478M,Machining Science,1,1
CFOC479M,Introduction to Stochastic Processes,1,3
CFOC480M,Introduction to System Dynamics Modeling,1,2
CFOC481M,Management of New Products and Services,1,1
CFOC482M,Integrated Marketing Management,1,2
CFOC483M,Simulation of Business Systems: An Applied Approach,1,2
CFOC484M,Production and Operation Management,1,3
CFOC485M,"Services Marketing: Integrating People, Technology, Strategy",1,2
CFOC486M,Managerial Skills for Interpersonal Dynamics,1,3
CFOC487M,Financial Institutions and Markets,1,3
CFOC488M,Business Analytics For Management Decision,1,3
CFOC489M,Services Marketing : A Practical Approach,1,1
CFOC490M,Sales and Distribution Management,1,2
CFOC491M,Principles of Human Resource Management,1,2
CFOC492M,Managing change in organizations,1,2
CFOC493M,Management of Inventory Systems,1,3
CFOC494M,Quality Design And Control,1,3
CFOC495M,Foundation Course in Managerial Economics,1,2
CFOC496M,Engineering Econometrics,1,3
CFOC497M,Financial Statement Analysis and Reporting,1,3
CFOC498M,Business Statistics,1,3
CFOC499M,Global Marketing Management,1,2
CFOC500M,Marketing Research and Analysis - II,1,3
CFOC501M,Infrastructure Planning and Managements,1,3
CFOC502M,Modelling and Analytics for Supply Chain Management,1,3
CFOC503M,Marketing Analytics,1,3
CFOC504M,Financial Management For Managers,1,3
CFOC505M,Management of Commercial Banking,1,3
CFOC506M,Behavioral and Personal Finance,1,2
CFOC507M,Total Quality Management - 1,1,2
CFOC508M,Entrepreneurship,1,3
CFOC509M,Modeling of Tundish Steelmaking Process in Continuous Casting,1,2
CFOC510M,Fundamentals of Electronic Materials and Devices,1,2
CFOC511M,Introduction to Materials Science and Engineering,1,3
CFOC512M,Corrosion - Part I,1,2
CFOC513M,"Solar Photovoltaics: Principles, Technologies and Materials",1,2
CFOC514M,Welding Processes,1,3
CFOC515M,Theory and Practice of Non Destructive Testing,1,2
CFOC516M,Steel Quality: Role of Secondary Refining and Continuous Casting,1,3
CFOC517M,Materials Science and Engineering,1,2
CFOC518M,Surface Engineering of Nanomaterials,1,2
CFOC519M,"Dealing with Materials Data: Collection, Analysis and Interpretation",1,3
CFOC520M,Friction and Wear of Materials: Principle and Case Studies,1,2
CFOC521M,Material Characterization,1,3
CFOC522M,Offshore Structures Under Special Environmental Loads Including Fire Resistance,1,3
CFOC523M,Physics of Biological Systems,1,3
CFOC524M,Group Theory methods in Physics,1,3
CFOC525M,Experimental Physics - II,1,3
CFOC526M,Quantum Mechanics I,1,3
CFOC527M,A Brief Course on Superconductivity,1,1
CFOC528M,Fiber Optics,1,2
CFOC529M,Electromagnetism,1,3
CFOC530M,Experimental Physics III,1,3
CFOC531M,Electronic Theory of Solids,1,3
CFOC532M,Introduction to Atmospheric and Space Sciences,1,3
CFOC533M,Optical Sensors,1,1
CFOC534M,Evaluation of Textiles Materials,1,3
CFOC535M,Advanced Textile Printing Technology,1,2
CFOC536M,Textured Yarn Technology,1,3
CFOC537M,Theory of Yarn Structure,1,3
CFOC537M,Theory of Yarn Structure,2,2
CFOC538M,Testing of Functional and Technical Textiles,1,2
CFOC539M,"Applied Optimization for Wireless, Machine Learning, Big Data",1,3
CFOC540M,Deep Learning for Computer Vision,1,3
CFOC541M,Deep Learning for Visual Computing,1,3
CFOC542M,Principles of Compiler Design,1,3
CFOC543M,International Business,1,3
CFOC544M,Learning Analytics Tools,1,3
CFOC545M,Advanced IoT Applications,1,2
CFOC546M,Algorithms for Big Data,1,2
CFOC547M,Decision Making using Financial Accounting,1,2
CFOC548M,Introduction on Intellectual Property to Engineers and Technologists,1,2
CFOC549M,Introduction to Quantum Computing: Quantum Algorithms and Qiskit,1,1
CFOC550M,Numerical Analysis,1,4
CFOC550M,Numerical Analysis,2,3
CFOC551M,Quantum Technology and Quantum Phenomena in Macroscopic Systems,1,3
CFOC552M,Electrochemical Impedance Spectroscopy,1,3
CFOC553M,Carbon Materials and Manufacturing,1,3
CFOC554M,Electronic Packaging and Manufacturing,1,2
CFOC555M,Finite Element Method,1,3
CFOC556M,Physics of Materials,1,3
CFOC557M,X-ray Crystallography and Diffraction,1,3
CFOC558M,"Solar Photovoltaics Fundamentals, Technology and Applications",1,2
CFOC559M,Design of Photovoltaic Systems,1,3
CFOC560M,Fundamentals of Micro and Nanofabrication,1,3
CFOC561M,Biomedical Nanotechnology,1,1
CFOC562M,Design and Analysis of VLSI Subsystems,1,3
CFOC563M,Physics of Nanoscale Devices,1,3
CFOC564M,Photonic Integrated Circuit,1,3
CFOC565M,Technologies for Clean and Renewable Energy Production,1,2
CFOC566M,Elements of Solar Energy Conversion,1,3
CFOC567M,Physics of Renewable Energy Systems,1,3
CFOC568M,Structural Analysis of Nanomaterials,1,1
CFOC569M,Computational Approach to Materials Science and Engineering,1,2
CFOC570M,Public Speaking,1,3
CFOC571M,Introduction To CFD,1,3
CFOC572M,Dairy And Food Process And Products Technology,1,3
CFOC573M,Fundamentals Of Food Process Engineering,1,3
CFOC574M,Micro irrigation Engineering,1,3
CFOC575M,Wildlife Ecology,1,3
CFOC576M,Integrated Waste Management For A Smart City,1,3
CFOC577M,Introduction To Multimodal Urban Transportation Systems (MUTS),1,3
CFOC578M,Wastewater Treatment And Recycling,1,3
CFOC579M,Structural Geology,1,3
CFOC580M,Real-Time Systems,1,3
CFOC581M,Algorithmic Game Theory,1,3
CFOC582M,Computational Number Theory and Algebra,1,3
CFOC583M,Power System Protection,1,3
CFOC584M,Accreditation And Outcome Based Learning,1,2
CFOC585M,Great Experiments In Psychology,1,1
CFOC586M,Spoken Sanskrit: Basic and Intermediate Levels,1,3
CFOC587M,Economics of Banking and Finance Markets,1,3
CFOC588M,Concepts Of Thermodynamics,1,3
CFOC589M,Engineering Drawing And Computer Graphics,1,3
CFOC590M,Management Information System,1,3
CFOC591M,Principles Of Management,1,3
CFOC592M,Stress Management,1,1
CFOC593M,Corporate Finance,1,3
CFOC593M,Corporate Finance,2,2
CFOC594M,Customer Relationship Management,1,2
CFOC595M,Urbanization and Environment,1,2
CFOC596M,Digital Speech Processing,1,2
CFOC597M,Globalization And Culture,1,2
CFOC598M,Elements of Visual Representation,1,2
CFOC599M,Leadership and Team Effectiveness,1,3
CFOC600M,Data Analysis for Biologists,1,2
CFOC601M,Advance Course in Social Psychology,1,3
CFOC602M,Product and Brand Management,1,3
CFOC603M,Quantitative Investment Management,1,2
CFOC604M,Entrepreneurship and IP Strategy,1,2
CFOC605M,"Sensor Technologies: Physics, Fabrication, and Circuits",1,2
CFOC606M,Ecology and Environment,1,2
CFOC607M,Analog VLSI Design,1,3
CFOC608M,The Science of Happiness and Wellbeing,1,2
CFOC609M,Introduction to Basic Spoken Sanskrit and Intermediate Level of Spoken Sanskrit,1,3
CFOC610M,Advanced Algorithmic Trading and Portfolio Management,1,2
CFOC611M,Advanced Quantum Mechanics with Applications,1,2
CFOC612M,Business Fundamentals for Entrepreneurs,1,1
CFOC612M,Business Fundamentals for Entrepreneurs,2,3
CFOC613M,C-Based VLSI Design,1,3
CFOC614M,The Popular Gothic Novel,1,3
CFOC615M,Introduction To Biomimicry,1,2
CFOC616M,Applied Linguistics,1,3
CFOC617M,Gender and Literature,1,2
CFOC618M,Developing Soft Skills and Personality,1,2
CFOC619M,Corporate Finance_2,1,2
CFOC620M,Architectural Acoustics,1,2
CFOC621M,An Introduction to Indian Literary Theory,1,2
CFOC622M,"Indian Art: Materials, Techniques And Artistic Practices",1,3
CFOC623M,Space Flight Mechanics,1,3
CFOC624M,Industrial Safety Engineering,1,3
CFOC625M,Advanced Thermodynamics and Combustion,1,3
CFOC626M,Postmodernism in Literature,1,2
CFOC627M,Natural Language Processing,1,3
CFOC628M,Appreciating Carnatic Music,1,2
CFOC629M,Body language: Key to Professional Success,1,1
CFOC630M,Business To Business Marketing,1,3
CFOC631M,Conservation Geography,1,3
CFOC632M,Enclosure Design Of Electronics Equipment,1,3
CFOC633M,Environment and Development,1,3
CFOC634M,Introduction to Aerospace Engineering,1,3
CFOC635M,Operations and Supply Chain Management,1,3
CFOC636M,Programming in Modern C++,1,3
CFOC637M,Psychology Of Learning,1,3
CFOC638M,"Urban utilities Planning : Water Supply, Sanitation and Drainage",1,3
CFOC639M,Research Methodology,1,2
CFOC640M,Communication Networks,1,3
CFOC641M,Aircraft Design,1,3
CFOC642M,Conservation Economics,1,3
CFOC643M,Cryogenic Hydrogen Technology,1,2
CFOC644M,Explosions and Safety,1,3
CFOC645M,Financial Accounting,1,2
CFOC646M,Philosophy and Critical Thinking,1,3
CFOC647M,Air pollution and Control,1,3
CFOC648M,Centre-State Relations in India,1,2
CFOC649M,"Energy Resources, Economics, and Sustainability",1,2
CFOC650M,Human Physiology,1,3
CFOC651M,"Psychology of Stress, Health and Well-being",1,3
CFOC652M,Signal Processing Techniques and its Applications,1,3
CFOC653M,Strength & Conditioning for the Indian Population,1,3
CFOC654M,The Evolution of the Earth and Life,1,3
CFOC655M,United Nations Sustainable Development Goals (UN SDGs),1,3
CFOC656M,Usability Engineering,1,3
CFOC657M,Understanding Incubation and Entrepreneurship,1,3
CFOC658M,Design Practice - II,1,2
